Width (mm),Weight (g),Temperature (°C),Defective
10.26,253.5,32.4,1
10.15,254.8,29.9,0
10.52,250.4,26.0,1
10.17,257.4,26.0,1
10.61,244.3,28.7,1
10.48,249.0,28.8,0
10.4,246.4,28.8,0
10.14,240.7,27.6,1
10.27,249.6,27.8,0
10.8,249.4,28.5,0
10.7,257.6,28.1,1
10.11,253.2,24.7,1
10.54,244.9,27.7,1
10.8,259.3,26.7,1
9.83,256.1,28.3,1
10.72,252.9,32.5,1
10.23,248.9,28.6,0
10.73,245.2,27.5,0
10.19,248.1,29.4,0
9.78,255.4,28.7,1
9.85,259.4,28.6,1
10.52,257.7,28.9,1
10.6,247.6,31.1,1
10.14,244.4,26.3,1
10.76,250.7,28.7,0
9.84,241.2,26.6,1
10.47,251.6,28.8,0
10.02,249.3,26.6,0
10.24,247.7,27.4,0
10.52,242.0,27.6,1
10.16,252.6,29.5,0
10.35,247.3,29.4,0
10.9,244.2,26.1,1
10.27,235.6,28.1,1
10.83,249.9,26.9,0
10.05,258.9,26.1,1
10.71,258.3,27.7,1
11.08,247.7,27.5,1
9.51,247.0,31.6,1
10.18,252.3,28.6,0
10.73,245.0,25.9,1
10.42,251.5,27.2,0
10.65,253.8,29.5,0
10.26,256.1,31.1,1
10.53,249.5,25.6,1
10.44,249.0,25.2,1
10.97,245.6,30.8,1
10.6,245.9,28.6,0
10.64,248.9,26.7,0
10.34,251.8,28.8,0
10.3,254.6,24.0,1
10.33,246.0,28.0,0
10.66,257.5,28.5,1
10.33,248.6,29.4,0
10.62,249.9,26.5,0
11.33,246.3,28.1,1
10.85,237.9,26.6,1
10.37,254.4,28.4,0
10.98,253.7,26.7,0
10.34,248.6,27.4,0
9.68,250.3,26.5,1
10.1,252.6,29.0,0
9.75,242.2,29.3,1
10.36,247.4,27.6,0
10.51,254.0,28.1,0
11.17,243.7,25.8,1
10.63,251.5,27.6,0
10.41,243.2,27.9,1
10.83,252.3,31.9,1
9.62,249.8,26.3,1
10.59,241.9,30.2,1
10.81,255.8,29.5,1
9.91,246.3,28.4,1
10.96,245.9,30.6,1
10.64,251.0,28.6,0
10.33,255.7,28.6,1
10.75,244.9,27.9,1
11.41,250.3,29.8,1
10.57,252.1,29.6,0
10.6,253.5,27.1,0
10.32,250.9,26.0,0
10.16,248.2,27.7,0
10.83,245.9,26.8,0
10.16,250.4,27.9,0
10.53,244.6,29.9,1
10.31,235.4,27.3,1
10.69,252.2,27.9,0
10.63,254.5,28.1,0
10.92,238.2,29.3,1
10.3,245.0,24.6,1
10.39,253.1,27.1,0
10.11,260.3,28.3,1
10.32,250.1,29.8,0
10.65,246.4,27.3,0
10.8,249.1,25.2,1
10.13,256.9,28.9,1
10.85,246.8,27.0,0
11.04,246.0,26.2,1
10.67,247.6,27.1,0
11.25,245.2,27.7,1
10.19,250.6,27.1,0
10.0,258.1,24.7,1
9.79,251.6,29.3,1
11.1,248.7,29.9,1
10.76,248.5,29.0,0
10.48,242.2,26.3,1
10.61,254.4,27.7,0
10.05,249.6,28.0,0
11.48,249.1,28.9,1
10.55,266.0,29.0,1
10.54,251.5,26.9,0
10.79,246.2,28.1,0
10.69,247.9,28.7,0
10.59,255.7,30.2,1
10.18,250.6,29.1,0
10.69,242.8,29.2,1
11.25,254.6,28.1,1
11.04,246.7,30.1,1
11.14,259.4,28.6,1
10.3,255.4,26.7,1
10.1,247.8,30.1,1
10.45,256.4,29.0,1
10.52,250.3,27.3,0
10.94,254.3,27.3,0
9.82,252.4,28.4,1
11.11,245.8,28.7,1
10.44,246.8,28.3,0
10.33,255.1,28.5,1
10.1,248.3,30.5,1
9.84,248.0,29.6,1
10.83,245.2,28.3,0
10.53,252.1,29.4,0
9.98,260.3,26.5,1
9.98,244.7,28.6,1
10.37,250.1,30.7,1
11.17,257.1,27.7,1
10.4,249.6,26.7,0
9.9,252.3,27.0,1
10.4,244.7,26.4,1
10.39,252.1,26.8,0
9.42,249.1,27.4,1
10.48,254.9,25.9,1
10.41,255.9,28.0,1
10.78,262.9,29.4,1
11.24,252.9,26.6,1
10.95,251.6,30.3,1
10.39,251.0,28.8,0
10.06,248.2,29.5,0
11.53,251.7,27.0,1
10.52,248.5,29.3,0
10.51,250.8,26.4,0
10.49,256.6,29.3,1
10.58,245.0,28.3,1
10.44,255.7,28.8,1
10.27,256.6,26.2,1
10.28,249.4,26.7,0
10.49,239.4,28.9,1
10.28,247.0,26.6,0
10.21,256.5,28.7,1
10.54,249.9,25.9,1
10.4,245.0,29.3,0
11.1,247.5,26.2,1
9.44,254.2,28.8,1
10.94,252.7,28.9,0
11.0,248.8,27.0,0
9.67,248.2,28.9,1
10.36,248.0,28.4,0
10.35,245.4,27.2,0
9.94,258.1,26.5,1
10.19,248.4,25.1,1
10.06,256.1,28.5,1
11.2,257.6,25.7,1
10.87,255.0,28.1,0
11.01,247.8,27.6,1
10.79,252.0,29.0,0
10.05,249.9,27.5,0
10.29,245.5,27.5,0
10.7,251.6,29.1,0
10.01,244.1,28.5,1
10.79,255.9,28.5,1
10.4,247.7,28.7,0
10.35,251.0,25.7,1
10.78,251.4,29.1,0
10.68,248.7,28.9,0
10.36,252.9,26.5,0
10.96,247.6,27.6,0
10.07,254.4,27.9,0
10.75,243.3,27.8,1
10.74,250.6,28.5,0
10.38,259.7,30.1,1
10.63,245.0,29.6,1
10.0,246.6,26.0,1
10.87,252.6,28.9,0
10.43,250.9,30.0,0
10.29,251.8,28.6,0
10.92,252.4,29.6,0
10.22,253.2,31.0,1
9.94,255.5,29.5,1
9.88,252.0,28.4,1
10.74,248.8,29.6,0
9.99,253.4,28.2,1
11.2,259.5,28.0,1
9.67,249.3,27.5,1
11.18,245.1,30.3,1
10.58,255.5,26.8,1
10.46,249.4,30.3,1
10.28,239.1,28.7,1
10.66,254.2,25.9,1
10.48,247.3,28.6,0
10.94,249.5,24.8,1
10.55,251.7,28.9,0
10.56,251.0,29.3,0
10.35,253.5,27.1,0
10.48,247.8,28.2,0
10.62,252.6,30.9,1
9.82,248.7,27.2,1
9.96,253.7,26.4,1
10.8,253.1,30.2,1
10.57,245.3,30.9,1
10.43,255.4,28.0,1
10.51,247.3,29.5,0
10.64,254.0,30.0,1
10.28,251.8,26.9,0
10.19,259.2,27.3,1
10.58,248.9,29.8,0
10.11,248.3,30.5,1
10.66,249.9,28.8,0
9.82,248.5,26.7,1
10.91,254.0,31.0,1
10.69,241.9,27.2,1
10.6,244.7,27.5,1
10.89,244.7,28.5,1
11.17,254.8,30.3,1
10.91,258.6,29.3,1
9.76,249.5,28.6,1
9.99,249.2,28.7,1
10.25,250.4,28.1,0
10.51,255.8,28.8,1
10.71,245.4,24.2,1
10.21,251.2,27.6,0
10.57,254.9,28.4,0
10.2,252.5,26.3,0
10.26,250.9,28.6,0
9.94,255.0,27.7,1
10.13,236.5,30.6,1
9.96,253.4,30.4,1
10.11,246.7,27.3,0
10.92,240.8,27.8,1
10.12,252.6,27.9,0
11.55,256.9,27.3,1
10.7,249.3,28.3,0
10.57,254.8,26.9,0
10.16,258.1,26.3,1
10.78,256.6,28.9,1
10.27,258.2,28.9,1
10.55,253.7,26.8,0
11.52,250.4,29.3,1
10.46,242.0,27.1,1
10.96,248.8,28.4,0
10.22,245.8,29.2,0
10.49,260.9,27.9,1
11.21,249.1,28.7,1
10.25,250.6,27.2,0
11.22,252.8,27.7,1
10.78,250.2,27.7,0
10.28,258.5,26.9,1
10.75,246.9,27.7,0
10.89,251.0,25.7,1
10.75,246.3,27.3,0
9.87,243.4,27.6,1
10.21,246.9,27.6,0
10.4,249.8,27.6,0
10.47,247.9,27.9,0
10.75,246.5,28.7,0
10.57,243.0,29.3,1
9.97,249.6,27.0,1
10.65,242.5,26.2,1
10.74,253.8,26.4,0
10.72,250.4,27.3,0
10.93,242.7,27.5,1
10.83,248.5,26.8,0
10.68,246.2,26.1,0
10.47,251.6,27.3,0
9.84,256.7,28.3,1
10.67,240.6,28.9,1
10.58,250.6,27.2,0
10.61,249.2,27.4,0
9.99,253.4,26.6,1
10.07,251.1,28.0,0
10.92,246.2,26.7,0
10.48,248.4,28.9,0
10.77,246.0,25.3,1
10.51,255.4,27.5,1
10.51,250.1,28.5,0
10.88,259.5,28.3,1
10.29,249.7,32.0,1
10.54,246.5,28.5,0
10.32,242.4,26.5,1
10.33,241.0,27.9,1
10.38,242.1,25.3,1
10.59,251.3,27.9,0
10.31,252.5,26.8,0
11.0,242.1,29.4,1
10.14,254.5,27.2,0
10.43,247.6,27.8,0
10.32,250.7,27.0,0
11.08,258.1,30.6,1
10.58,254.5,27.5,0
10.91,248.7,30.7,1
9.91,245.5,29.2,1
10.61,239.2,28.7,1
10.86,246.4,28.6,0
10.53,248.9,28.6,0
10.93,245.1,25.1,1
10.29,249.3,27.6,0
11.06,250.4,29.3,1
11.42,248.9,27.9,1
10.35,246.7,25.9,1
10.32,250.8,27.9,0
11.08,252.2,30.6,1
11.13,244.5,29.9,1
10.29,257.1,27.9,1
10.33,249.5,29.4,0
10.39,250.1,27.5,0
9.96,253.5,25.4,1
10.13,251.2,26.6,0
10.1,254.8,30.3,1
10.19,251.4,27.6,0
10.49,246.9,27.6,0
10.59,251.8,27.6,0
11.12,244.3,30.9,1
10.1,250.5,30.4,1
10.89,249.8,31.3,1
10.41,249.0,27.8,0
10.48,249.4,28.4,0
10.77,240.6,25.7,1
10.05,247.3,30.2,1
10.65,250.5,26.2,0
10.57,250.8,28.3,0
10.7,244.9,26.4,1
10.62,256.3,27.1,1
11.48,245.7,26.7,1
10.24,254.8,27.1,0
10.29,252.1,27.2,0
10.25,246.8,27.2,0
10.28,258.9,29.3,1
10.25,244.0,26.3,1
10.98,254.6,28.3,0
11.07,255.0,29.8,1
10.27,246.6,27.2,0
10.17,257.0,26.9,1
10.69,248.7,27.7,0
10.28,251.4,29.8,0
10.75,251.3,28.3,0
10.58,249.3,27.2,0
9.89,254.1,28.7,1
11.12,254.0,26.3,1
11.22,241.3,29.0,1
10.25,256.5,28.6,1
10.34,241.7,27.5,1
10.61,255.2,26.7,1
10.63,255.6,26.7,1
10.76,244.5,28.8,1
11.3,247.9,29.8,1
10.43,244.5,27.0,1
10.18,248.9,28.7,0
9.95,248.5,24.9,1
10.21,253.9,27.1,0
10.49,256.6,28.0,1
11.22,257.0,26.6,1
10.29,247.2,26.6,0
10.59,249.0,27.0,0
10.49,241.6,28.4,1
10.98,246.0,27.7,0
11.51,254.8,24.6,1
10.29,258.1,24.8,1
10.3,243.8,27.1,1
10.92,247.0,28.7,0
10.77,249.9,23.9,1
11.24,251.4,27.3,1
10.73,246.0,27.2,0
10.36,252.1,30.1,1
10.74,247.6,27.4,0
10.94,249.9,28.6,0
10.83,252.7,28.2,0
10.7,250.0,24.8,1
10.93,247.8,29.2,0
10.97,249.5,28.3,0
11.05,249.6,28.8,1
10.76,248.1,33.9,1
10.43,248.7,24.9,1
10.56,258.0,30.6,1
10.98,252.8,27.6,0
10.17,248.5,28.4,0
10.65,253.5,27.9,0
10.34,248.3,27.4,0
10.51,255.9,27.1,1
11.01,251.8,28.5,1
10.58,249.5,25.7,1
10.52,252.2,29.1,0
9.96,242.1,27.4,1
10.8,244.4,26.3,1
10.76,244.0,27.3,1
11.37,250.7,29.9,1
10.38,258.7,27.2,1
10.59,261.2,28.5,1
10.6,253.2,26.9,0
11.13,252.5,29.1,1
10.46,241.0,29.0,1
10.61,247.3,30.8,1
10.74,246.1,27.7,0
10.57,246.9,29.0,0
10.32,249.2,28.1,0
10.58,247.6,29.9,0
10.93,240.1,26.9,1
10.09,253.7,29.1,0
10.55,244.6,27.7,1
10.22,251.2,27.9,0
10.98,260.4,28.1,1
9.89,245.4,28.4,1
10.28,237.3,27.8,1
10.65,248.6,28.3,0
11.13,255.5,30.4,1
10.47,259.8,29.5,1
10.28,243.9,29.3,1
11.25,252.5,27.3,1
9.92,247.7,26.7,1
9.62,249.5,29.4,1
10.68,263.2,29.3,1
10.3,242.5,30.2,1
10.09,251.3,27.1,0
10.78,252.3,27.7,0
10.6,255.4,25.5,1
10.27,250.5,27.4,0
9.99,251.5,29.5,1
10.85,248.0,27.3,0
10.76,251.3,29.0,0
10.46,248.3,27.7,0
11.24,253.1,28.5,1
10.07,248.2,26.3,0
9.89,251.9,28.1,1
10.22,249.9,23.5,1
10.48,255.6,27.7,1
10.6,249.7,25.6,1
10.4,241.1,29.8,1
10.64,256.3,29.2,1
10.0,245.5,28.7,1
11.08,246.7,30.3,1
10.47,247.0,26.6,0
10.95,256.9,30.6,1
10.64,239.3,29.4,1
10.68,265.7,27.6,1
10.73,255.3,29.7,1
10.68,251.1,26.3,0
10.76,249.7,26.8,0
11.03,251.4,27.1,1
10.58,252.6,27.2,0
10.78,253.2,26.4,0
10.46,252.8,29.8,0
11.08,250.4,27.6,1
10.23,249.0,28.5,0
11.22,249.2,27.1,1
10.48,249.0,25.3,1
9.93,255.7,28.4,1
10.55,253.0,25.1,1
10.23,235.3,27.9,1
10.84,253.3,25.9,1
10.24,251.0,31.0,1
10.32,249.9,29.4,0
9.74,248.1,28.2,1
10.32,255.6,29.9,1
9.53,254.7,26.7,1
9.87,246.1,28.8,1
10.8,252.0,28.3,0
10.81,245.1,28.4,0
10.67,243.1,29.9,1
10.11,246.9,29.1,0
10.48,254.3,28.4,0
10.5,254.8,25.5,1
10.04,252.6,26.6,0
11.1,253.6,27.8,1
10.85,252.6,28.1,0
10.41,246.8,26.3,0
10.51,252.2,31.6,1
10.58,254.0,30.3,1
9.68,253.8,28.9,1
10.4,255.9,28.1,1
10.23,253.5,27.7,0
10.1,251.8,26.6,0
10.39,255.4,28.1,1
11.22,249.9,28.4,1
10.76,245.6,26.1,0
10.27,249.2,28.5,0
10.73,246.3,27.8,0
11.06,246.6,25.1,1
10.87,249.3,26.7,0
10.52,246.0,27.4,0
10.24,248.5,30.8,1
10.78,240.5,28.8,1
10.66,251.1,26.0,1
10.86,250.0,28.7,0
10.75,245.9,25.7,1
10.92,253.3,29.6,0
10.29,254.7,27.3,0
11.03,242.0,27.9,1
10.58,246.2,30.0,0
11.33,246.2,26.1,1
10.22,245.3,25.9,1
11.19,254.1,27.1,1
10.58,249.0,29.6,0
10.24,248.7,25.7,1
10.31,240.0,23.8,1
10.37,253.2,27.3,0
10.67,243.8,28.8,1
10.71,250.3,29.8,0
10.27,251.4,27.3,0
10.49,256.8,27.4,1
11.36,243.5,29.7,1
11.19,234.9,25.2,1
10.67,250.9,27.4,0
10.52,259.0,28.3,1
10.55,256.2,28.7,1
10.75,251.0,27.2,0
10.09,247.5,28.1,0
10.4,254.0,24.3,1
9.83,245.1,27.0,1
10.66,252.4,28.7,0
10.76,252.5,26.5,0
10.31,255.3,28.1,1
11.13,263.8,28.7,1
10.01,252.0,27.5,0
9.91,247.5,28.3,1
10.59,249.9,26.6,0
10.92,241.2,27.7,1
11.17,246.5,28.9,1
10.32,248.0,28.2,0
10.93,247.4,27.1,0
10.48,250.8,28.3,0
10.43,245.9,29.1,0
10.85,255.6,24.9,1
10.76,250.0,29.7,0
9.87,250.0,27.5,1
11.09,248.4,28.6,1
11.05,250.8,29.8,1
10.25,254.1,25.9,1
10.66,245.7,26.9,0
10.7,246.7,27.6,0
10.6,248.5,26.8,0
10.28,243.3,30.6,1
10.23,245.9,26.7,0
10.49,247.6,27.2,0
10.97,254.4,28.3,0
10.72,251.3,26.2,0
10.35,251.0,27.4,0
10.81,254.3,28.5,0
9.36,249.3,27.5,1
10.96,252.0,27.9,0
9.8,249.5,27.2,1
10.36,251.3,25.7,1
10.05,247.1,28.5,0
9.98,237.8,30.6,1
10.96,249.3,28.0,0
10.31,257.1,28.3,1
10.64,254.6,29.0,0
10.48,254.8,26.1,0
10.69,256.2,30.6,1
10.53,250.4,28.3,0
9.99,251.0,30.4,1
10.9,246.9,26.9,0
10.3,248.4,30.7,1
9.88,253.1,29.2,1
10.33,256.0,28.8,1
11.1,249.3,28.4,1
10.84,247.7,27.6,0
10.36,250.0,29.8,0
10.36,253.0,28.2,0
10.37,242.8,25.0,1
11.33,238.5,26.3,1
10.65,247.2,27.7,0
10.67,243.9,28.5,1
10.91,247.5,27.9,0
10.6,249.3,29.8,0
10.4,247.7,25.1,1
10.42,257.3,28.2,1
10.47,251.6,25.3,1
10.49,251.5,29.1,0
10.79,253.1,27.9,0
10.52,244.3,28.6,1
10.79,255.2,26.7,1
10.47,249.6,29.9,0
10.53,253.4,29.6,0
9.7,244.6,28.9,1
10.87,242.2,27.8,1
10.64,254.1,28.9,0
10.9,251.9,26.9,0
9.34,245.5,29.3,1
11.34,245.7,30.5,1
10.44,255.6,29.6,1
10.94,244.1,26.9,1
10.08,258.2,28.5,1
10.75,245.5,26.1,0
10.08,253.2,28.9,0
10.25,248.4,28.7,0
11.27,253.0,25.2,1
10.42,247.3,26.3,0
10.59,249.2,27.6,0
10.85,250.2,27.5,0
10.7,245.0,26.2,1
10.56,253.7,28.6,0
10.65,247.4,28.4,0
11.46,248.9,27.7,1
10.48,245.0,26.9,0
10.58,237.2,29.6,1
10.92,249.0,30.5,1
10.94,262.1,27.3,1
10.97,253.9,27.1,0
10.76,249.9,28.7,0
10.04,248.7,27.5,0
11.15,250.1,27.8,1
10.04,252.7,29.1,0
10.62,244.1,25.1,1
10.2,255.6,30.0,1
10.47,253.6,28.1,0
10.63,253.6,27.4,0
10.63,252.2,27.9,0
10.67,250.1,27.9,0
11.15,253.4,25.4,1
10.68,253.0,30.2,1
10.4,248.2,28.1,0
10.89,247.1,28.7,0
10.98,250.5,29.4,0
10.01,257.7,26.5,1
10.74,243.8,28.7,1
10.78,242.7,27.6,1
10.38,250.8,29.3,0
11.05,250.3,24.8,1
10.44,250.9,27.9,0
10.55,251.2,27.1,0
10.43,248.9,28.6,0
10.51,257.4,28.7,1
10.06,242.0,26.9,1
9.92,245.9,26.9,1
11.14,249.5,27.8,1
10.16,241.8,26.7,1
10.1,249.1,29.3,0
9.64,258.3,27.4,1
10.24,250.1,23.6,1
9.97,251.2,27.4,1
11.16,243.7,26.4,1
10.9,246.9,25.6,1
10.22,248.1,26.1,0
11.4,248.4,28.2,1
10.89,256.4,30.0,1
10.37,252.8,28.5,0
9.5,244.4,27.1,1
11.42,251.2,28.7,1
9.94,252.5,27.3,1
9.84,255.7,27.0,1
10.91,257.9,26.3,1
11.48,244.9,25.4,1
11.05,245.9,27.4,1
10.73,243.7,28.2,1
10.74,248.8,27.9,0
10.84,252.3,27.4,0
10.8,254.9,26.6,0
10.61,249.6,28.9,0
10.54,248.4,26.0,0
10.47,250.8,29.2,0
10.2,245.8,26.5,0
10.39,260.4,26.9,1
9.82,242.0,25.8,1
10.46,250.9,27.2,0
10.1,260.1,29.5,1
10.06,250.0,28.8,0
10.57,249.0,29.5,0
11.06,248.2,28.8,1
10.87,249.1,26.3,0
9.87,256.9,27.5,1
10.1,238.9,26.8,1
10.88,257.7,30.0,1
10.11,242.9,26.2,1
10.41,248.7,29.3,0
10.72,247.9,29.3,0
10.11,252.9,30.7,1
10.54,242.0,27.4,1
9.97,252.3,29.1,1
10.26,260.1,31.4,1
10.63,243.2,27.1,1
9.86,250.9,25.7,1
10.68,246.7,25.2,1
10.49,252.1,29.1,0
10.72,250.1,25.2,1
10.59,246.8,27.4,0
11.05,252.4,28.7,1
10.55,259.0,28.3,1
10.33,249.0,28.6,0
10.55,253.6,28.3,0
10.72,243.5,29.9,1
10.52,245.2,26.6,0
10.52,252.4,27.0,0
10.22,257.4,26.8,1
10.23,251.8,29.2,0
9.94,248.4,29.4,1
11.2,250.0,28.7,1
10.0,243.7,29.8,1
10.22,253.0,26.2,0
10.21,254.4,30.5,1
10.86,247.7,30.3,1
10.38,247.6,29.1,0
11.0,251.3,30.7,1
10.23,247.8,25.5,1
10.61,249.7,27.2,0
10.17,260.5,26.9,1
11.36,248.8,29.1,1
10.02,248.2,26.4,0
10.62,246.8,29.1,0
10.75,253.7,30.1,1
10.67,249.1,29.0,0
10.43,246.8,28.4,0
10.45,256.6,26.5,1
10.52,257.1,26.7,1
10.44,247.0,29.9,0
10.89,240.7,29.2,1
11.38,255.0,27.9,1
10.28,246.6,27.4,0
9.95,254.0,25.0,1
10.46,240.1,26.4,1
11.53,254.5,30.9,1
10.18,243.9,26.1,1
11.16,253.7,28.3,1
11.17,250.1,29.5,1
10.28,245.2,26.1,0
10.73,248.0,28.3,0
11.15,253.4,29.4,1
10.35,250.5,28.0,0
10.42,252.9,32.3,1
10.27,259.9,25.5,1
10.09,242.2,29.6,1
10.24,258.1,27.7,1
10.01,250.5,29.2,0
10.51,245.5,28.7,0
10.19,243.3,26.9,1
10.59,249.1,28.3,0
9.88,254.6,25.2,1
10.63,249.4,28.9,0
10.83,257.6,28.4,1
9.7,242.7,29.0,1
10.65,249.9,29.6,0
10.99,243.7,28.6,1
10.02,251.8,28.2,0
11.17,254.4,26.7,1
10.67,247.9,26.9,0
10.22,237.0,29.8,1
10.48,251.0,30.2,1
10.72,252.2,27.6,0
10.53,252.0,28.1,0
10.72,256.2,26.6,1
10.13,244.6,29.8,1
10.57,253.4,29.0,0
9.93,256.0,30.9,1
10.46,241.1,26.7,1
10.14,251.6,27.4,0
10.21,247.5,28.3,0
10.99,249.6,29.0,0
10.94,251.7,27.7,0
10.74,247.6,26.7,0
10.06,246.6,29.3,0
10.37,250.2,29.1,0
10.99,244.6,26.6,1
10.56,244.6,30.0,1
11.43,253.4,29.8,1
10.66,244.3,28.2,1
10.58,253.3,28.1,0
10.38,252.3,28.8,0
10.55,241.4,26.7,1
10.44,246.6,28.0,0
10.78,256.0,24.8,1
10.88,245.1,29.3,0
10.19,247.7,25.7,1
9.97,252.3,30.3,1
9.77,253.9,27.5,1
10.7,248.7,27.7,0
10.06,247.0,27.1,0
9.64,257.1,27.6,1
10.66,258.7,30.1,1
11.5,254.9,24.3,1
10.5,250.4,29.9,0
10.84,246.0,28.5,0
10.53,245.8,26.2,0
10.46,252.6,26.4,0
